Question,Answer,Keywords
"Bagaimana cara mendaftar santri baru di Al-Ikhsan?","Pendaftaran santri baru dilakukan secara online. Silakan kunjungi website resmi kami di https://www.alikhsan-beji.app/. Di sana, Anda bisa membuat akun, mengisi formulir biodata, dan mengunggah berkas yang diperlukan.","cara daftar, pendaftaran, registrasi, online, website"
"Apa saja syarat dokumen yang harus disiapkan untuk mendaftar?","Biasanya dokumen standar meliputi KK, Akta Kelahiran, foto berwarna, dan ijazah terakhir. Namun, untuk detail pastinya, silakan login ke https://www.alikhsan-beji.app/ dan cek menu persyaratan di dashboard pendaftaran.","syarat, dokumen, berkas, kk, akta"
"Berapa biaya pendaftaran dan biaya bulanan di Pondok Pesantren Al-Ikhsan?","Untuk rincian biaya pendaftaran (uang pangkal) dan syahriyah (bulanan) terbaru, informasinya tersedia lengkap di dashboard https://www.alikhsan-beji.app/ setelah Anda membuat akun. Biaya kami relatif terjangkau dengan fasilitas pendidikan salaf dan modern.","biaya, harga, uang gedung, syahriyah, bayar"
"Apakah di sini hanya belajar agama atau bisa sambil sekolah formal?","Di Al-Ikhsan, kami menerapkan sistem integrasi Salaf dan Modern. Santri bisa mondok sambil sekolah formal di Madrasah Ibtidaiyah (MI), Madrasah Tsanawiyah (MTs), atau Madrasah Aliyah (MA) yang berada di bawah naungan yayasan.","sekolah formal, sekolah umum, mi, mts, ma, salaf modern"
"Apa itu program AEDS yang ada di Al-Ikhsan?","AEDS adalah singkatan dari Arabic and English Development Skills. Ini adalah program unggulan kami untuk mengembangkan kemampuan dua bahasa (Arab dan Inggris) santri, baik aktif maupun pasif, guna mencetak santri yang siap Go International.","aeds, bahasa, inggris, arab, program unggulan"
"Bagaimana sistem pendidikan di Pondok Pesantren Al-Ikhsan?","Kami menggabungkan dua sistem: Salaf (ala Lirboyo) untuk penguasaan kitab kuning, dan Modern (ala Gontor) untuk pengembangan bahasa Arab dan Inggris. Ini sesuai dengan visi kami mencetak muslim berilmu, berbudi luhur, dan mandiri.","sistem pendidikan, kurikulum, salaf, modern, gontor, lirboyo"
"Saya lupa password akun pendaftaran saya, bagaimana solusinya?","Jangan khawatir. Silakan buka halaman login di https://www.alikhsan-beji.app/, lalu klik tombol 'Lupa Password' atau 'Forgot Password'. Ikuti instruksi yang dikirim ke email Anda untuk mereset kata sandi.","lupa password, reset sandi, tidak bisa login, akun"
"Dimana alamat lengkap Pondok Pesantren Al-Ikhsan?","Kami berlokasi di Desa Beji I, Kecamatan Kedungbanteng, Kabupaten Banyumas, Jawa Tengah, Kode Pos 53152. Lokasinya sekitar 5 km ke arah utara dari kota Purwokerto, menuju arah wisata Baturraden.","alamat, lokasi, peta, banyumas, purwokerto"
"Apakah orang tua boleh menjenguk santri? Kapan jadwalnya?","Wali santri diperbolehkan menjenguk (sambangan) sesuai jadwal yang ditentukan pondok agar tidak mengganggu kegiatan belajar. Biasanya hari Jumat atau Minggu. Mohon konfirmasi ke pengurus pondok melalui kontak yang tersedia sebelum datang.","jenguk, sambangan, kunjungan, orang tua, jadwal"
"Siapa pengasuh Pondok Pesantren Al-Ikhsan saat ini?","Saat ini Pondok Pesantren Al-Ikhsan diasuh oleh Kiai Achmad Shodiq Muchtar Idris Al-Hafiz, meneruskan perjuangan pendiri KH. Abu Chamid.","pengasuh, kiai, kyai, pimpinan, pengurus"
"Apakah ada program khusus untuk menghafal Al-Quran?","Ya, kami memiliki Pondok Tachfizul-Quran. Santri di program ini fokus pada setoran hafalan (ziyadah) dan murojaah setiap hari mulai dari subuh hingga malam, di samping kegiatan sekolah formal.","tahfidz, hafal quran, menghafal, tachfizul, program hafalan"
"Bagaimana kegiatan sehari-hari santri putra?","Kegiatan sangat padat dan teratur. Dimulai sebelum subuh (qubailash-shubhi), dilanjut AEDS Bahasa Arab, sekolah formal jam 07.00-13.15, AEDS Bahasa Inggris sore hari, kajian kitab kuning malam hari, hingga istirahat sekitar jam 22.30.","kegiatan putra, jadwal harian, aktivitas, rutinitas"
"Apa bedanya santri mukim dan santri kalong?","Santri Mukim adalah santri yang tinggal dan menetap di asrama pondok. Santri Kalong (Non-Mukim) adalah santri yang mengikuti kegiatan pengajian atau sekolah di sini tetapi tidak menginap (biasanya warga sekitar).","santri mukim, santri kalong, asrama, pulang pergi, perbedaan"
"Apakah santri boleh membawa HP atau Laptop?","Secara umum, penggunaan gadget dibatasi untuk menjaga fokus belajar. Namun, untuk kebutuhan tugas sekolah/kuliah tertentu, ada aturan khusus. Sebaiknya tanyakan detail aturan barang bawaan ini ke pengurus saat daftar ulang.","hp, handphone, laptop, gadget, aturan, barang bawaan"
"Saya mahasiswa UNSOED, apakah bisa nyantri di Al-Ikhsan?","Sangat bisa. Kami menerima santri mahasiswa dari UNSOED, IAIN Purwokerto, dan kampus lain. Banyak mahasiswa yang nyantri di sini karena lokasi strategis dan biaya syahriyah yang relatif terjangkau.","mahasiswa, unsoed, iain, kuliah sambil mondok, universitas"
"Apa saja ekstrakurikuler yang tersedia di pondok?","Untuk mengembangkan bakat, kami punya ekskul Hadroh/Rebana, Kepenulisan, Sepak Bola (Putra), hingga Drama Bahasa Asing. Kegiatan ini biasanya dilakukan pada Minggu sore atau Sabtu malam.","ekskul, ekstrakurikuler, bakat, minat, hobi"
"Apakah ada nomor kontak pengurus pondok putra yang bisa dihubungi?","Untuk Pondok Putra, Anda bisa menghubungi nomor 0857-4211-2215. Silakan hubungi pada jam kerja atau jam istirahat santri agar fast respon.","kontak putra, nomor wa, telepon, pengurus putra"
"Kalau mau tanya tentang Pondok Putri, hubungi siapa?","Untuk informasi seputar Pondok Putri, silakan hubungi nomor 0856-4060-9641.","kontak putri, nomor wa, telepon, pengurus putri"
"Bagaimana cara pembayaran tagihan pendaftaran di aplikasi?","Setelah mendaftar di https://www.alikhsan-beji.app/, Anda akan mendapatkan instruksi pembayaran (biasanya via transfer bank). Pastikan Anda mengunggah bukti transfer di menu yang disediakan agar diverifikasi admin.","bayar, transfer, tagihan, metode pembayaran, konfirmasi"
"Apa itu program Hard Teaching System (HTS)?","HTS adalah program spesialisasi bahasa (Arab & Inggris) yang intensif diadakan selama 20 hari di bulan Ramadhan. Tujuannya untuk memacu kecakapan komunikasi santri dan dibuka juga untuk peserta luar.","hts, hard teaching system, ramadhan, program kilat, kursus"
"Kapan pondok pesantren ini didirikan?","Pondok Pesantren Al-Ikhsan didirikan pada tahun 1986 oleh KH. Abu Chamid. Awalnya hanya menampung sedikit santri di rumah beliau hingga berkembang menjadi kompleks pesantren seperti sekarang.","sejarah, tahun berdiri, pendirian, asal usul"
"Apakah website pendaftaran bisa diakses lewat HP?","Ya, website https://www.alikhsan-beji.app/ sudah mobile-friendly. Anda bisa mendaftar dan memantau status pendaftaran langsung dari browser HP Anda.","akses hp, mobile, smartphone, tampilan, error"
"Apa visi utama dari Pondok Pesantren Al-Ikhsan?","Visi kami adalah membentuk manusia muslim yang berilmu, berbudi luhur, serta mandiri. Kami ingin santri tidak hanya pintar agama, tapi juga siap menghadapi tantangan zaman.","visi, tujuan, cita-cita, target"
"Apakah santri diwajibkan bisa bahasa Arab dan Inggris?","Ya, penguasaan Dwi Bahasa adalah program prioritas kami. Santri akan dibimbing mulai dari nol melalui program AEDS, jadi tidak perlu takut jika belum bisa sama sekali saat masuk.","wajib bahasa, inggris, arab, kemampuan bahasa, pemula"
"Saya sudah upload berkas tapi statusnya masih 'Menunggu Verifikasi', berapa lama prosesnya?","Proses verifikasi biasanya memakan waktu 1x24 jam pada hari kerja. Jika lebih dari itu belum berubah, silakan hubungi admin via WhatsApp dengan menyertakan nama pendaftar.","verifikasi, status, pending, lama, admin"
"Apakah ada program beasiswa untuk santri kurang mampu?","Pondok biasanya memiliki kebijakan khusus untuk yatim piatu atau dhuafa. Namun, kuota dan syaratnya bisa berubah. Silakan tanyakan langsung ke panitia PSB atau cek pengumuman di website.","beasiswa, keringanan, biaya, yatim, kurang mampu"
"Bagaimana kegiatan makan santri? Apakah disediakan pondok?","Umumnya santri makan dengan sistem kos (masak sendiri/beli) atau katering yang dikelola pondok, tergantung kebijakan asrama masing-masing. Fasilitas dapur biasanya disediakan.","makan, konsumsi, dapur, masak, katering"
"Apa akun media sosial resmi pondok untuk melihat dokumentasi kegiatan?","Anda bisa ikuti Instagram kami di @ponpes_alikhsanbeji, Facebook 'Pondok Pesantren Al-Ikhsan Beji Kedungbanteng', atau Channel Youtube dengan nama yang sama.","sosmed, instagram, facebook, youtube, foto kegiatan"
"Apakah ada kajian kitab kuning? Kitab apa saja?","Pasti. Kami mengkaji kitab-kitab salaf (Tafsir Jalalain, Fathul Qorib, dll) dengan sistem Bandongan (klasikal) dan Sorogan (individu) untuk memastikan pemahaman santri.","kitab kuning, kajian, pengajian, salaf, bandongan"
"Jika saya mengalami error 'Server Bermasalah' saat daftar, apa yang harus dilakukan?","Mohon maaf atas ketidaknyamanannya. Coba refresh halaman atau ganti browser. Jika masih error, kemungkinan sedang ada maintenance. Silakan lapor ke tim IT kami atau coba lagi beberapa saat kemudian.","error, server, bug, tidak bisa akses, masalah teknis"
"Apakah lulusan Al-Ikhsan bisa lanjut kuliah ke luar negeri?","Insya Allah bisa. Dengan bekal AEDS (Bahasa Arab & Inggris) dan ijazah formal (Aliyah), alumni kami memiliki modal kuat untuk melanjutkan studi ke Timur Tengah maupun negara lainnya.","kuliah, luar negeri, alumni, prospek, timur tengah"
"Apa itu TOT (Training Of Trainer)?","TOT adalah program non-reguler untuk mencetak kader instruktur/pengajar Bahasa Inggris. Pelatihannya intensif selama ± 3 bulan dengan materi reading, conversation, hingga teaching practice.","tot, training of trainer, pelatih, instruktur, guru bahasa"
"Apakah santri tidur di kasur atau di lantai?","Fasilitas asrama kami menyediakan ruang tidur yang layak. Santri biasanya membawa kasur lipat/busa masing-masing atau sesuai fasilitas kamar yang tersedia. Kebersihan kamar menjadi tanggung jawab bersama.","tidur, kamar, asrama, fasilitas, kasur"
"Berapa luas area pondok pesantren ini?","Luas tanah pondok sekitar 4030 m2 dengan luas bangunan 3700 m2. Area ini mencakup asrama putra/putri, masjid, kelas madrasah, dan kantor.","luas, area, gedung, fasilitas, tanah"
"Apa kegiatan santri pada malam Jumat?","Malam Jumat diisi dengan kegiatan spiritual seperti Yasinan, Tahlilan, dan Ziarah Makam Masyayikh (bada Isya), serta pembacaan Maulid Nabi (Kamis malam).","malam jumat, kegiatan rutin, tahlil, yasin, ziarah"
"Bagaimana jika anak saya sakit di pondok?","Kami memiliki unit kesehatan pesantren (Poskestren) untuk penanganan ringan. Jika sakit berlanjut, pengurus akan segera menghubungi orang tua dan mengantar santri ke klinik/puskesmas terdekat.","sakit, kesehatan, obat, klinik, darurat"
"Apakah ada tes seleksi masuk?","Ada tes pemetaan kemampuan untuk menentukan kelas Diniyah dan kelas Bahasa (AEDS), namun bukan untuk menolak santri. Tes biasanya meliputi baca Al-Quran dan wawancara dasar.","tes, seleksi, ujian masuk, placement test, wawancara"
"Saya ingin mendaftarkan dua anak sekaligus, apakah harus bikin dua akun?","Disarankan membuat satu akun per anak agar data biodata dan berkas tidak tertukar di sistem database kami. Gunakan email yang berbeda untuk setiap pendaftaran.","daftar dua anak, akun ganda, email, kakak adik"
"Apa nama yayasan yang menaungi pondok ini?","Pondok bernaung di bawah Yayasan Al-Ikhsan yang berbadan hukum resmi. Legalitas ini menjamin validitas ijazah dan operasional pendidikan kami.","yayasan, legalitas, badan hukum, resmi"
"Apakah santri boleh pulang setiap minggu?","Tidak. Perizinan pulang diatur ketat, biasanya hanya saat liburan semester atau ada keperluan mendesak (sakit parah/duka cita). Ini untuk melatih kemandirian santri.","pulang, izin, libur, perizinan, aturan"
"Bagaimana cara mengecek pengumuman kelulusan/diterima?","Pengumuman akan muncul di dashboard akun pendaftaran Anda di https://www.alikhsan-beji.app/ atau dikirimkan melalui notifikasi WhatsApp/Email yang terdaftar.","pengumuman, lulus, diterima, hasil seleksi"
"Program Junior English Trainer (JET) itu untuk usia berapa?","JET dirancang sebagai pembekalan skill bahasa Inggris sedini mungkin, idealnya untuk anak usia lepas SD atau masa SLTP (SMP/MTs).","jet, junior english, smp, usia, anak"
"Apakah ada koperasi atau kantin di dalam pondok?","Ya, tersedia koperasi santri yang menyediakan kebutuhan harian (sabun, alat tulis, jajanan) sehingga santri tidak perlu sering keluar kompleks pondok.","koperasi, kantin, jajan, belanja, kebutuhan"
"Jam berapa santri mulai bangun tidur?","Santri dibangunkan sebelum subuh (Qubailash-Shubhi) untuk persiapan sholat malam/subuh berjamaah, dilanjut kegiatan bahasa Arab pagi.","bangun tidur, jam berapa, subuh, pagi"
"Bisakah saya survey lokasi dulu sebelum mendaftar online?","Tentu boleh. Silakan datang ke kantor sekretariat kami di Beji I, Banyumas pada jam kerja untuk melihat lingkungan pondok dan bertanya langsung kepada pengurus.","survey, lihat lokasi, berkunjung, datang langsung"
"Apa yang dimaksud dengan 'Santri Kalong'?","Santri Kalong adalah sebutan untuk santri yang tidak menginap di asrama. Mereka biasanya warga sekitar yang ikut mengaji kitab atau sekolah formal di Al-Ikhsan, lalu pulang ke rumah masing-masing.","santri kalong, non mukim, pulang pergi, warga sekitar"
"Bagaimana kualitas pengajar/ustadz di Al-Ikhsan?","Para Ustadz/Ustadzah adalah alumni pesantren yang kompeten (sebagian besar mahasiswa/sarjana). Untuk program bahasa, kami datangkan pelatih khusus atau alumni senior yang berpengalaman.","pengajar, guru, ustadz, kualitas, sdm"
"Apakah ada laundry untuk pakaian santri?","Biasanya santri dilatih mandiri mencuci baju sendiri. Namun, jika ada layanan laundry warga sekitar yang bekerjasama, itu bersifat opsional dan berbayar di luar biaya pondok.","cuci baju, laundry, pakaian, mandiri"
"Apa arti nomor statistik 51.2.33.02.19.001 di profil pondok?","Itu adalah Nomor Statistik Pondok Pesantren (NSPP) dari Kementerian Agama. Ini membuktikan bahwa Al-Ikhsan adalah lembaga pendidikan Islam yang terdaftar dan diakui negara.","nspp, nomor statistik, izin kemenag, terdaftar"
"Apa pesan error 'Email Sudah Terdaftar' saat registrasi?","Artinya email tersebut sudah pernah dipakai untuk mendaftar sebelumnya. Jika itu email Anda, silakan langsung Login saja, tidak perlu daftar baru. Jika lupa password, gunakan fitur Lupa Password.","email terdaftar, error registrasi, sudah punya akun, login"
"File foto saya gagal diupload, padahal sudah jpg. Kenapa ya?","Biasanya ini masalah ukuran file. Pastikan ukuran foto tidak lebih dari 1MB atau 2MB. Coba kompres dulu fotonya menggunakan aplikasi kompres foto online, lalu upload ulang.","gagal upload, foto, error, ukuran file, kompres"
"Apakah santri boleh membawa setrika sendiri?","Untuk alasan keamanan listrik dan menghindari korsleting di asrama, santri dilarang membawa alat elektronik pemanas seperti setrika atau rice cooker. Setrika biasanya disediakan pondok atau ada jadwal laundry.","setrika, alat elektronik, rice cooker, listrik, larangan"
"Bagaimana jika anak saya tidak betah dan minta pulang terus?","Homesickness adalah hal wajar di bulan pertama. Pengurus memiliki pendekatan khusus (konseling) untuk memotivasi santri. Kami mohon orang tua tega 'sementara' dan tidak terlalu sering menjenguk di minggu-minggu awal agar anak cepat beradaptasi.","tidak betah, homesick, minta pulang, adaptasi, nangis"
"Apakah ada mesin ATM di dekat pondok?","Lokasi pondok di Beji cukup strategis. Ada beberapa ATM (BRI/BCA/Mandiri) yang bisa dijangkau dengan jarak sekitar 5-10 menit berkendara dari area pondok. Namun, santri dilarang keluar tanpa izin.","atm, bank, ambil uang, lokasi, terdekat"
"Berapa ukuran kasur yang harus dibawa?","Untuk tempat tidur, biasanya kami menggunakan ukuran single (lebar 70-90cm). Jangan membawa kasur spring bed besar karena akan memakan tempat teman sekamar. Disarankan kasur busa lipat yang praktis.","kasur, ukuran, tempat tidur, sprei, perlengkapan"
"Apakah santri wajib loundry atau mencuci sendiri?","Pondok menekankan kemandirian, jadi santri diajarkan mencuci sendiri. Namun, jika ada kendala (misal sakit atau padat kegiatan), biasanya ada warga sekitar yang menawarkan jasa laundry berbayar.","laundry, cuci baju, nyuci, pakaian, jasa"
"Bagaimana prosedur pengiriman paket untuk santri?","Paket bisa dikirim ke alamat pondok: PP Al-Ikhsan, Desa Beji I, Kec. Kedungbanteng, Banyumas, 53152. Wajib cantumkan: NAMA LENGKAP SANTRI dan NAMA AYAH/KAMAR (jika tahu) agar tidak tertukar. Paket akan diperiksa pengurus keamanan terlebih dahulu.","kirim paket, alamat paket, jne, jnt, barang kiriman"
"Apa sanksi jika santri ketahuan merokok?","Al-Ikhsan menerapkan aturan ketat. Merokok termasuk pelanggaran berat. Sanksinya bertahap mulai dari teguran, botak (bagi putra), panggilan orang tua, hingga dikembalikan ke orang tua (dikeluarkan) jika berulang kali melanggar.","merokok, rokok, sanksi, hukuman, pelanggaran"
"Apakah boleh membawa pakaian jeans/levis?","Demi menjaga kesopanan dan adab santri, penggunaan celana ketat atau berbahan jeans biasanya tidak diperkenankan di lingkungan pesantren. Disarankan membawa celana bahan/kain yang longgar.","jeans, levis, celana ketat, pakaian, dilarang"
"Bagaimana sistem keamanan di pondok? Aman tidak?","Insya Allah aman. Kami memiliki petugas keamanan (Kamtib) dari unsur pengurus senior yang berjaga 24 jam, serta gerbang yang dikunci pada jam malam. Tamu asing wajib lapor.","keamanan, satpam, maling, jaga malam, safety"
"Kalau mau transfer uang saku santri ke rekening mana?","Pondok biasanya menggunakan sistem Tabungan Santri terpusat untuk keamanan uang. Nomor rekening virtual atau rekening pengurus akan diinfokan saat daftar ulang. Hindari memberi uang tunai berlebih ke anak.","kirim uang, transfer, wesel, uang saku, rekening"
"Apakah ada libur semesteran? Berapa lama?","Ya, ada libur semester ganjil (biasanya Desember) dan semester genap/kenaikan kelas (biasanya Syawal/Juni). Durasinya sekitar 1-2 minggu, tergantung kalender pendidikan pondok tahun itu.","libur, pulang kampung, semesteran, tanggal merah, cuti"
"Apa itu kegiatan 'Roan'?","Roan adalah istilah pesantren untuk kerja bakti membersihkan lingkungan pondok. Biasanya dilakukan setiap hari Minggu pagi atau Jumat pagi. Ini melatih gotong royong dan kebersihan.","roan, kerja bakti, bersih-bersih, gotong royong, piket"
"Bagaimana jika saya salah input NIK atau Nama saat daftar?","Data krusial seperti NIK sebaiknya benar. Jika terlanjur salah simpan, silakan hubungi Admin IT kami lewat WhatsApp di website untuk dibantu reset data atau edit manual dari sistem pusat.","salah data, edit, ubah nama, nik salah, revisi"
"Apakah walisantri disediakan penginapan jika datang dari jauh?","Pondok memiliki ruang tamu terbatas. Jika walisantri ingin menginap, kami sarankan mencari penginapan/homestay di sekitar Kedungbanteng atau Baturraden yang banyak tersedia dan nyaman.","penginapan, hotel, menginap, tamu luar kota, homestay"
"Anak saya punya alergi makanan tertentu, bagaimana?","Mohon sampaikan hal ini secara detail kepada pengurus asrama/dapur saat serah terima santri. Kami akan berusaha memantau, namun santri juga harus diedukasi untuk menghindari makanan pemicu alerginya.","alergi, makanan, pantangan, kesehatan, sakit"
"Apakah di kamar mandi antre panjang?","Namanya kehidupan pesantren, antre adalah seni kesabaran. Ya, pada jam sibuk (sebelum subuh/sekolah) pasti antre. Santri diajarkan bangun lebih awal (tahajud) jika ingin mandi lebih tenang.","antre, kamar mandi, wc, air, rebutan"
"Berapa jumlah santri dalam satu kamar?","Kapasitas kamar bervariasi tergantung ukuran gedung, rata-rata berisi 10-20 santri. Ini untuk membangun kebersamaan (ukhuwah) yang kuat antar teman.","sekamar berapa orang, kapasitas, teman kamar, isi kamar"
"Apakah ada pelajaran umum seperti Matematika/IPA?","Tentu ada, bagi santri yang sekolah di lembaga formal (MI, MTs, MA) di bawah naungan yayasan. Kurikulumnya mengikuti standar pemerintah (Kemenag/Kemdikbud) ditambah muatan lokal pesantren.","pelajaran umum, matematika, ipa, kurikulum nasional, sekolah"
